1	Zeug mir alle Erinnerungen.
2	Brauche ich einen Pulli?
3	Stell mal Erinnerung für Heidumphiri Namidogai.
5	Erinnern mich zu tanken.
6	Brauche ich am Mittwoch einen Ringschirm?
8	Macher Geburtstagserinnerungen führen Max.
9	Zeug mir alle Erinnerungen.
10	Zwerg-Olewecke
11	Werzeitringer
12	Steyrn Becker für 8. in der Friehe
13	Wir sind die Temperaturheit.
14	Zeug mal Erinnerung.
15	Zorc Ollivica
16	Erinnere mich, mit Ben über Georgia zu reden.
17	Sternwecker für 5 in der Friehe
18	Ist halt bewölkt.
19	Wie viel Inches Ring kriegen wir heute?
20	Erinnere mich an meine Schwester, meine Zuhörerin.
21	Stopp an Wicca
22	wird es die Woche heiß,
23	Stellen Wicker für 3 Nami-Doc.
24	Werzeit schneien.
25	Lösch alle Wecker.
26	Zock mal meine Erinnerungen.
28	Was habe ich für Erinnerungen?
29	Stehen wir an täglichen Wecken für 8 in der Früh.
30	Kannst du mir die Wicke auswählen?
31	Erwartet Disney World heute Gewitter?
32	Werzeit schneien?
33	Zocker Löwecker
34	Ist es halt kalt?
35	Lösch bitte den Wecker für Dienstag in der Friehe.
36	Werzeit Ringe?
37	Schneid's in Kanada?
38	Was wird heute das Hoch sein?
39	Schneidzeitnacht genug, um Reisen gefährlich zu machen?
40	Zorg' olle Erinnerungen.
42	Brauche ich morgen eine Jacke?
45	Talk mal alle wecker.
46	Wir sind's wieder in Yellowstone.
47	Wir sind's wieder, Heide.
49	Erinnere mich, morgen zu der Zeit einen Arzttermin auszumachen.
50	Erinnere mich, die Miete abzusetzen.
51	Wann hört der Ring auf?
52	Lösch die Wecke.
53	Erinnere mich, Stefanie am Dienstag, O zum Ruhrfahrt.
54	Zorg alle meine Wicke.
55	Wir hören uns wieder.
56	Sternwecker für 5 Uhr heute Nacht
57	Erinnere mich am 21. August um 3 Uhr nachmittags zum Doktor zum Gehen.
59	Wann sagt die Wiedervorhersage als nächstes Moiringo?
60	Um welcher Zeit ist mein Wecker morgen in der Früh gestellt?
107	Erinner mich, bläme ich für Jen für unseren Jahrestag am 28. zum Heuen.
158	welcher in die Alarmessung steht.
171	Erinnern mir die Arbeits-E-Mails heute Nacht zum Beantworten.
336	Edert gerne Brasserie für drei Leute in den niederländischen Antillenburger.
