1	sagmal olle erinnerungen
2	brauch hern puli
3	stemaaerinnerung für heit undvieri namittag
5	erinner mir zu danken
6	brauch ji amittwoch ein ringchierm
8	macher geburtstagserinnerungn für ma
9	zagma olle erinnerungen
10	zoak ole weka
11	wehr zeit ringe
12	steern wicker für achtdehende frie
13	wesen de temperaturhet
14	sorgmai erinnerung
15	sorg alleweka
16	erinner m mihn mit benn über georger zureden
17	stäiern vicker für fünfen der frie
18	ist heit bewilkt
19	wie für insches ring grigmahe
20	erinner mir mei schwester mong
21	stoppen wek
22	wirzt ivochhoas
23	steen vicke für drei nach mittog
24	wehrzeit schnein
25	lessh alle vika
26	dogma meine erinnerungen
28	was habe ich für erinnerungen
29	stämean täglichen wicka für acht in der frie
30	konnst du mir die wkao
31	wartet disney world hiqutt
32	werzeit schnein
33	zork olliweka
34	ist es heitkout
35	löschpete den vicker für diensterkinde frie
36	wer zeit ring
37	schneiz in kanada
38	was wird he das hoch sei
39	schneisert nacht gnur am reisen gfährlich zu machen
40	zorgolle erinnerungen
42	brauch in manger jacken
45	zork mar olliveka
46	wir sinds weder in
47	nswedehet
49	erinner mi morgen zu derer zeit an arzttermine auszumachen
50	erinner mir die miete abzusetzen
51	wann härt der ring auf
52	leshte veka
53	erinner mith stefan ihrem dienstag o zum rurfa
54	sorg alle meine wicka
55	wer hos wr
56	steiern wicker für fünf ihet auf nacht
57	erinner mich am august um drei nachmittag zum doktor zum g
59	wann socgte weder vorhersage als nächste moiringo
60	um welcher zeit es mai wike morgen in derfrt
107	erinner mit blermi für cen für unseren jahrestag am a zum hoin
158	welch ene elarmissunsteht
171	erinner mir die arbeitse-mail seit auf nacht zum beantworten
336	gbassor für drei leid in den niederländischen
